State,Median Home Value,Crude Rate
Alabama,134300,8.3
Alaska,326000,11.3
Arizona,257600,17.3
Arkansas,129500,6.4
California,550800,8
Colorado,381300,10.9
Connecticut,244800,30.7
Delaware,236300,39.2
District of Columbia,567800,34.1
Florida,237900,17.3
Georgia,193500,8
Hawaii,619000,3.8
Idaho,274200,7.3
Illinois,183500,17.3
Indiana,148700,18.2
Iowa,146500,5
Kansas,141500,6.2
Kentucky,148400,22.9
Louisiana,147600,11.6
Maine,237800,23.9
Maryland,290500,34.6
Massachusetts,408100,28.4
Michigan,154500,17.7
Minnesota,239900,7.5
Mississippi,130200,8.1
Missouri,163700,17.6
Montana,242100,6.5
Nebraska,169900,3.4
Nevada,291800,11.8
New Hampshire,280400,26.8
New Jersey,329000,27.8
New Mexico,197400,18.6
New York,305300,14.9
North Carolina,189900,17.1
North Dakota,210000,5
Ohio,142600,29.1
Oklahoma,125400,6.6
Oregon,350600,7.7
Pennsylvania,176500,23.4
Rhode Island,284200,22.3
South Carolina,170700,16.4
South Dakota,194700,4.4
Tennessee,170800,22.2
Texas,199900,5
Utah,351100,12.4
Vermont,210600,18.1
Virginia,264200,14.7
Washington,393800,10.7
West Virginia,99000,37.3
Wisconsin,191600,15.9
Wyoming,236100,8.1
