,State,Median Home Value
0,Hawaii,619000
1,District of Columbia,567800
2,California,550800
3,Massachusetts,408100
4,Washington,393800
5,Colorado,381300
6,Utah,351100
7,Oregon,350600
8,New Jersey,329000
9,Alaska,326000
10,New York,305300
11,Nevada,291800
12,Maryland,290500
13,Rhode Island,284200
14,New Hampshire,280400
15,Idaho,274200
16,Virginia,264200
17,Arizona,257600
18,Connecticut,244800
19,Montana,242100
20,Minnesota,239900
21,Florida,237900
22,Maine,237800
23,Delaware,236300
24,Wyoming,236100
25,Vermont,210600
26,North Dakota,210000
27,Texas,199900
28,New Mexico,197400
29,South Dakota,194700
30,Georgia,193500
31,Wisconsin,191600
32,North Carolina,189900
33,Illinois,183500
34,Pennsylvania,176500
35,Tennessee,170800
36,South Carolina,170700
37,Nebraska,169900
38,Missouri,163700
39,Michigan,154500
40,Indiana,148700
41,Kentucky,148400
42,Louisiana,147600
43,Iowa,146500
44,Ohio,142600
45,Kansas,141500
46,Alabama,134300
47,Mississippi,130200
48,Arkansas,129500
49,Oklahoma,125400
50,West Virginia,99000
