Year,Gender,Deaths,Population,Crude Rate
1999,Female,1517,142237295,1.1
1999,Male,3922,136802873,2.9
1999,Total,5439,279040168,1.9
2000,Female,1758,143368343,1.2
2000,Male,4089,138053563,3
2000,Total,5847,281421906,2.1
2001,Female,2213,145077463,1.5
2001,Male,4740,139891492,3.4
2001,Total,6953,284968955,2.4
2002,Female,3056,146394634,2.1
2002,Male,6109,141230559,4.3
2002,Total,9165,287625193,3.2
2003,Female,3477,147679036,2.4
2003,Male,6758,142428897,4.7
2003,Total,10235,290107933,3.5
2004,Female,4045,148977286,2.7
2004,Male,7403,143828012,5.1
2004,Total,11448,292805298,3.9
2005,Female,4494,150319521,3
2005,Male,8075,145197078,5.6
2005,Total,12569,295516599,4.3
2006,Female,5323,151732647,3.5
2006,Male,10014,146647265,6.8
2006,Total,15337,298379912,5.1
2007,Female,5943,153166353,3.9
2007,Male,10447,148064854,7.1
2007,Total,16390,301231207,5.4
2008,Female,6179,154604015,4
2008,Male,11128,149489951,7.4
2008,Total,17307,304093966,5.7
2009,Female,6674,155964075,4.3
2009,Male,11648,150807454,7.7
2009,Total,18322,306771529,6
2010,Female,7109,156964212,4.5
2010,Male,12045,151781326,7.9
2010,Total,19154,308745538,6.2
2011,Female,7625,158301098,4.8
2011,Male,12963,153290819,8.5
2011,Total,20588,311591917,6.6
2012,Female,7737,159421973,4.9
2012,Male,13297,154492067,8.6
2012,Total,21034,313914040,6.7
2013,Female,8405,160477237,5.2
2013,Male,14745,155651602,9.5
2013,Total,23150,316128839,7.3
2014,Female,9727,161920569,6
2014,Male,17392,156936487,11.1
2014,Total,27119,318857056,8.5
2015,Female,10839,163189523,6.6
2015,Male,20707,158229297,13.1
2015,Total,31546,321418820,9.8
2016,Female,13216,164048590,8.1
2016,Male,27559,159078923,17.3
2016,Total,40775,323127513,12.6
2017,Female,14814,165311059,9
2017,Male,31577,160408119,19.7
2017,Total,46391,325719178,14.2
2018,Female,14388,166038755,8.7
2018,Male,31537,161128679,19.6
2018,Total,45925,327167434,14
2019,Female,14948,166582199,9
2019,Male,34178,161657324,21.1
2019,Total,49126,328239523,15
2020,Female,19718,167227921,11.8
2020,Male,48187,162256202,29.7
2020,Total,67905,329484123,20.6
