,State,Income 2019,Crude Rate,Population,clusters
0,Alabama,59558,8.3,4903185,1
1,Alaska,83079,11.3,731545,4
2,Arizona,74897,17.3,7278717,0
3,Arkansas,57799,6.4,3017804,1
4,California,82772,8.0,39512223,4
5,Colorado,76832,10.9,5758736,0
6,Connecticut,92507,30.7,3565287,2
7,Delaware,78628,39.2,973764,0
8,District of Columbia,98675,34.1,705749,2
9,Florida,61856,17.3,21477737,1
10,Georgia,60012,8.0,10617423,1
11,Hawaii,93265,3.8,1415872,2
12,Idaho,69932,7.3,1787065,3
13,Illinois,78845,17.3,12671821,0
14,Indiana,70679,18.2,6732219,3
15,Iowa,70002,5.0,3155070,3
16,Kansas,77523,6.2,2913314,0
17,Kentucky,58989,22.9,4467673,1
18,Louisiana,54797,11.6,4648794,1
19,Maine,70523,23.9,1344212,3
20,Maryland,101283,34.6,6045680,2
21,Massachusetts,92949,28.4,6892503,2
22,Michigan,67951,17.7,9986857,3
23,Minnesota,86292,7.5,5639632,4
24,Mississippi,47463,8.1,2976149,1
25,Missouri,64218,17.6,6137428,3
26,Montana,63792,6.5,1068778,3
27,Nebraska,77437,3.4,1934408,0
28,Nevada,75143,11.8,3080156,0
29,New Hampshire,92093,26.8,1359711,2
30,New Jersey,92969,27.8,8882190,2
31,New Mexico,56287,18.6,2096829,1
32,New York,76149,14.9,19453561,0
33,North Carolina,64814,17.1,10488084,3
34,North Dakota,74216,5.0,762062,0
35,Ohio,68527,29.1,11689100,3
36,Oklahoma,62946,6.6,3956971,3
37,Oregon,78860,7.7,4217737,0
38,Pennsylvania,74800,23.4,12801989,0
39,Rhode Island,74344,22.3,1059361,0
40,South Carolina,65735,16.4,5148714,3
41,South Dakota,68095,4.4,884659,3
42,Tennessee,60011,22.2,6829174,1
43,Texas,71474,5.0,28995881,3
44,Utah,89574,12.4,3205958,4
45,Vermont,78746,18.1,623989,0
46,Virginia,86172,14.7,8535519,4
47,Washington,87381,10.7,7614893,4
48,West Virginia,56916,37.3,1792147,1
49,Wisconsin,71380,15.9,5822434,3
50,Wyoming,69027,8.1,578759,3
