State,Unemployment 2019,Crude Rate
Alabama,3.2,8.3
Alaska,5.5,11.3
Arizona,4.9,17.3
Arkansas,3.5,6.4
California,4.1,8
Colorado,2.6,10.9
Connecticut,3.5,30.7
Delaware,3.7,39.2
District of Columbia,5.4,34.1
Florida,3.2,17.3
Georgia,3.6,8
Hawaii,2.5,3.8
Idaho,3,7.3
Illinois,4,17.3
Indiana,3.3,18.2
Iowa,2.6,5
Kansas,3.1,6.2
Kentucky,4.1,22.9
Louisiana,4.6,11.6
Maine,2.8,23.9
Maryland,3.4,34.6
Massachusetts,3.1,28.4
Michigan,4.1,17.7
Minnesota,3.4,7.5
Mississippi,5.4,8.1
Missouri,3.1,17.6
Montana,3.6,6.5
Nebraska,3,3.4
Nevada,4,11.8
New Hampshire,2.6,26.8
New Jersey,3.4,27.8
New Mexico,4.9,18.6
New York,3.8,14.9
North Carolina,3.8,17.1
North Dakota,2.1,5
Ohio,4.2,29.1
Oklahoma,3.1,6.6
Oregon,3.7,7.7
Pennsylvania,4.5,23.4
Rhode Island,3.6,22.3
South Carolina,2.8,16.4
South Dakota,2.8,4.4
Tennessee,3.4,22.2
Texas,3.5,5
Utah,2.6,12.4
Vermont,2.3,18.1
Virginia,2.8,14.7
Washington,4.3,10.7
West Virginia,4.9,37.3
Wisconsin,3.2,15.9
Wyoming,3.7,8.1
