,State,2019rate
2,North Dakota,2.1
3,Vermont,2.3
4,Hawaii,2.5
5,Colorado,2.6
6,Iowa,2.6
7,New Hampshire,2.6
8,Utah,2.6
9,Maine,2.8
10,South Carolina,2.8
11,South Dakota,2.8
12,Virginia,2.8
13,Idaho,3.0
14,Nebraska,3.0
15,Kansas,3.1
16,Massachusetts,3.1
17,Missouri,3.1
18,Oklahoma,3.1
19,Alabama,3.2
20,Florida,3.2
21,Wisconsin,3.2
22,Indiana,3.3
23,Maryland,3.4
24,Minnesota,3.4
25,New Jersey,3.4
26,Tennessee,3.4
27,Arkansas,3.5
28,Connecticut,3.5
29,Texas,3.5
30,Georgia,3.6
31,Montana,3.6
32,Rhode Island,3.6
33,Delaware,3.7
34,Oregon,3.7
35,Wyoming,3.7
36,New York,3.8
37,North Carolina,3.8
38,Illinois,4.0
39,Nevada,4.0
40,California,4.1
41,Kentucky,4.1
42,Michigan,4.1
43,Ohio,4.2
44,Washington,4.3
45,Pennsylvania,4.5
46,Louisiana,4.6
47,Arizona,4.9
48,New Mexico,4.9
49,West Virginia,4.9
50,District of Columbia,5.4
51,Mississippi,5.4
52,Alaska,5.5
